ISO3,COUNTRY,Population (2020),Days in year,Game_median_g_capita_day,Game_low95_g_capita_day,Game_high95_g_capita_day,Game_median_kg_country_year,AllMeat_median_kg_country_year,Perc_game,BovineMeat_median_g_capita_day,MuttonGoatMeat_median_g_capita_day,PigMeat_median_g_capita_day,PoultryMeat_median_g_capita_day,BirdMeatNES_median_g_capita_day,HorseMeat_median_g_capita_day,RabbitMeat_median_g_capita_day,RodentMeat_median_g_capita_day,CamelidMeat_median_g_capita_day,MeatDriedNES_median_g_capita_day,MeatNES_median_g_capita_day,SnailNotSeaMeat_median_g_capita_day
SWZ,Swaziland,1136000,365.15,,,,,,,4.2189,0.67092,0.39539,1.7861,0,0,0,0,0,0,0,0
SYR,Syria,17500658,365.15,,,,,,,5.7873,0.55732,8.0946,5.2563,0.12175,0,0.0036783,0,0,0.0012332,0,0
TCD,Chad,16425864,365.15,,,,,,,,,,,,,,,,,,
TGO,Togo,8278724,365.15,,,,,,,,,,,,,,,,,,
THA,Thailand,69799978,365.15,,,,,576475950,0,0.7103,0.01457,3.1452,3.9568,0,0,0,0,0,0,0,0
TJK,Tajikistan,9537645,365.15,,,,,,,1.0359,1.9634,0.26917,1.0732,0,0,0,0,0,0,0.1222,0
TKM,Turkmenistan,6031200,365.15,,,,,,,,,,,,,,,,,,
TLS,Timor-Leste,1318445,365.15,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,1399488,365.15,,,,,,,1.2726,1.0017,1.8236,17.3983,0,0,0,0,0,0,0,0
TUN,Tunisia,11818619,365.15,0.027199,0.024582,0.028495,117379.1538,105728568.3,0.111019335,1.4959,2.0362,0,4.4288,0,0.027249,0,0,0,0,0.31415,0.041021
TUR,Turkey,84339067,365.15,,,,,,,2.782,1.468,0,6.1486,0,0.013235,0.00026316,0,0,0,0.0036165,0.0030188
TZA,Tanzania,59734218,365.15,0.37731,0.37731,0.37731,8229866.742,214822274.7,3.831011823,1.6207,0.43308,0.09958,0.69815,0,0,0,0,0,0.000091728,7.77E-06,0
UGA,Uganda,45741007,365.15,,,,,,,,,,,,,,,,,,
UKR,Ukraine,43733762,365.15,,,,,,,2.2789,0.15663,4.251,7.1119,0,0.14714,0.16862,0,0,0,0.000011583,0
